Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,769.53
AApqr,BBnqx,CCbt,DDcy,EEbkv,131.42
AApqr,BBnqx,CCbt,DDcjx,EEkqy,644.78
AApqr,BBnqx,CCbt,DDmx,EEqz,518.69
AApqr,BBnqx,CCbt,DDcy,EEcrv,904.91
AApqr,BBnqx,CCbt,DDcjx,EEdhv,905.85
AApqr,BBnqx,CCbt,DDmx,EEbhk,397.75
AApqr,BBnqx,CCbt,DDcy,EEmpy,918.65
AApqr,BBnqx,CCbt,DDcjx,EEmz,665.48
AApqr,BBfnw,CCbt,DDmx,EEmz,926.41
AApqr,BBfnw,CCbt,DDcy,EEbkv,417.57
AApqr,BBfnw,CCbt,DDcjx,EEkqy,34.99
AApqr,BBfnw,CCbt,DDmx,EEqz,804.79
AApqr,BBfnw,CCbt,DDcy,EEcrv,942.37
AApqr,BBfnw,CCbt,DDcjx,EEdhv,945.57
AApqr,BBfnw,CCbt,DDmx,EEbhk,825.1
AApqr,BBfnw,CCbt,DDcy,EEmpy,701.68
AApqr,BBfnw,CCbt,DDcjx,EEmz,446.11
AApqr,BBlmr,CCbt,DDmx,EEmz,450.57
AApqr,BBlmr,CCbt,DDcy,EEbkv,322.29
AApqr,BBlmr,CCbt,DDcjx,EEkqy,325.71
AApqr,BBlmr,CCbt,DDmx,EEqz,582.8
AApqr,BBlmr,CCbt,DDcy,EEcrv,583.81
AApqr,BBlmr,CCbt,DDcjx,EEdhv,967.68
AApqr,BBlmr,CCbt,DDmx,EEbhk,842.02
AApqr,BBlmr,CCbt,DDcy,EEmpy,333.15
AApqr,BBlmr,CCbt,DDcjx,EEmz,722.05
AApqr,BBnqx,CCbt,DDmx,EEmz,853.1
AApqr,BBnqx,CCbt,DDcy,EEbkv,729.38
AApqr,BBnqx,CCbt,DDcjx,EEkqy,601.25
AApqr,BBnqx,CCbt,DDmx,EEqz,478.42
AApqr,BBnqx,CCbt,DDcy,EEcrv,991.83
AApqr,BBnqx,CCbt,DDcjx,EEdhv,608.38
AApqr,BBnqx,CCbt,DDmx,EEbhk,866.05
AApqr,BBnqx,CCbt,DDcy,EEmpy,358.7
AApqr,BBnqx,CCbt,DDcjx,EEmz,876.75
AApqr,BBfnw,CCbt,DDmx,EEmz,108.49
AApqr,BBfnw,CCbt,DDcy,EEbkv,236.01
AApqr,BBfnw,CCbt,DDcjx,EEkqy,111.6
AApqr,BBfnw,CCbt,DDmx,EEqz,748.73
AApqr,BBfnw,CCbt,DDcy,EEcrv,370.37
AApqr,BBfnw,CCbt,DDcjx,EEdhv,242.94
AApqr,BBfnw,CCbt,DDmx,EEbhk,374.12
AApqr,BBfnw,CCbt,DDcy,EEmpy,249.36
AApqr,BBfnw,CCbt,DDcjx,EEmz,509.22
