CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAmz_BBgqt,AAmz_BBbpv
CChpx,,59.73,-40.00,8.72,-16.62,38.62,32.72,-71.04
,  DDlmr,50.34,-53.80,3.46,-24.36,75.19,21.38,-84.72
,  DDkrs,68.45,-27.44,16.88,-12.72,-97.56,46.40,-56.37
,  DDdlz,61.33,-36.44,7.43,-12.73,92.81,33.48,-66.19
,  DDcmp,58.78,-42.33,7.13,-16.68,84.06,29.63,-76.88
CCbt,,55.05,-46.57,5.97,-19.64,86.15,26.07,-76.75
,  DDmx,47.41,-56.24,2.25,-26.81,73.31,16.28,-88.67
,  DDcwz,51.00,-55.77,5.50,-27.62,83.56,20.17,-80.84
,  DDbmz,58.86,-42.21,2.16,-12.59,89.97,32.08,-76.74
,  DDmpy,62.94,-32.06,13.98,-11.54,97.77,35.75,-60.77
CCfnw,,57.50,-44.32,8.95,-16.01,60.23,28.32,-74.60
,  DDqz,53.67,-51.36,6.83,-17.98,84.61,20.41,-78.76
,  DDmx,66.08,-29.31,15.32,-8.93,-8.19,38.69,-57.87
,  DDkrs,49.49,-56.47,3.72,-25.52,73.48,20.85,-88.58
,  DDgv,60.75,-40.16,9.93,-11.60,91.04,33.33,-73.19
